Id,Label
社会议题,社会议题
教育话题,教育话题
特定人物及相关方,特定人物及相关方
其他社会成员,其他社会成员
质疑声,质疑声
支持声,支持声
娱乐化讨论,娱乐化讨论
理性讨论,理性讨论
支持,支持
反对,反对
质疑,质疑
