Id,Label
教育话题,教育话题
特定人物及相关方,特定人物及相关方
其他社会成员,其他社会成员
回应,回应
质疑声,质疑声
支持声,支持声
娱乐化讨论,娱乐化讨论
理性讨论,理性讨论
支持,支持
质疑,质疑
